tim_mm,spot_mm,t_max,t_die_mean,t_top_max,penalty,t_1d,iters,residual,q_out,seconds
0.05,0.25,38.63580012295375,30.987499999981267,30.597031136891566,7.648300122972486,30.991666666666667,2412,9.957011570804753e-09,5.0,1.0546963214874268
0.05,0.5,37.66584974075351,30.987499999981083,30.59342317461336,6.6783497407724255,30.991666666666667,2407,9.958512237062678e-09,4.999999999999999,1.5269854068756104
0.05,1.0,36.26375539208033,30.987499999981,30.579431419305617,5.276255392099326,30.991666666666667,2404,9.998643690778408e-09,4.999999999999999,1.6608362197875977
0.05,2.0,34.462250794864445,30.987499999981,30.529292208540728,3.4747507948834446,30.991666666666667,2395,9.989310001401463e-09,4.999999999999998,1.1951100826263428
0.05,3.0,33.377160012678104,30.98749999998087,30.460463995992264,2.3896600126972345,30.991666666666667,2380,9.950167623173912e-09,5.0,1.1822288036346436
0.05,5.0,32.17596026445719,30.987499999981228,30.306293502290732,1.1884602644759603,30.991666666666667,2325,9.971211056836182e-09,4.999999999999998,1.2920947074890137
0.05,10.0,30.98749999999999,30.987499999999972,30.001562500000002,1.7763568394002505e-14,30.991666666666667,1,2.2737367544323207e-14,4.999999999999999,0.0
0.075,0.25,40.365709106676604,31.40416666663915,30.56082504737744,8.961542440037455,31.40833333333333,2411,9.988525562221184e-09,4.999999999999999,1.1925623416900635
0.075,0.5,39.36496110412882,31.404166666638456,30.55764336219204,7.96079443749036,31.40833333333333,2406,9.990151284000604e-09,5.0,1.266183614730835
0.075,1.0,37.86280883396775,31.40416666663852,30.54526428648533,6.458642167329227,31.40833333333333,2404,9.97572442429373e-09,5.0,1.232588768005371
0.075,2.0,35.80818959000463,31.404166666638567,30.500417564962206,4.404022923366064,31.40833333333333,2395,9.96635662886547e-09,5.000000000000001,1.5986480712890625
0.075,3.0,34.48725894455276,31.404166666638165,30.43778183953698,3.0830922779145915,31.40833333333333,2379,9.981738458009204e-09,5.000000000000001,1.5986669063568115
0.075,5.0,32.95061939142218,31.404166666638858,30.29402565984871,1.5464527247833217,31.40833333333333,2325,9.948234946932646e-09,4.999999999999998,1.6754498481750488
0.075,10.0,31.404166666666658,31.404166666666644,30.001562500000002,1.4210854715202004e-14,31.40833333333333,1,2.2737367544323207e-14,4.999999999999999,0.004347085952758789
0.1,0.25,41.839335798337274,31.820833333296186,30.530204604424203,10.018502465041088,31.825,2411,9.966629477276e-09,4.999999999999999,1.9067518711090088
0.1,0.5,40.81937669352394,31.820833333295532,30.52733300358375,8.99854336022841,31.825,2406,9.967345704353647e-09,4.999999999999999,2.0735387802124023
0.1,1.0,39.25224336176634,31.82083333329556,30.516135629691462,7.431410028470779,31.825,2404,9.953078006219584e-09,5.000000000000001,2.0903825759887695
0.1,2.0,37.02073445124234,31.82083333329544,30.47526621171577,5.199901117946901,31.825,2394,9.998166206059978e-09,5.0,2.2038376331329346
0.1,3.0,35.5205514044468,31.820833333295177,30.417493554918963,3.699718071151622,31.825,2379,9.958978353097337e-09,5.0,2.080373764038086
0.1,5.0,33.70320478125838,31.82083333329587,30.28251798427106,1.8823714479625089,31.825,2324,9.979862625186798e-09,5.000000000000002,1.9353294372558594
0.1,10.0,31.82083333333333,31.820833333333322,30.001562500000002,7.105427357601002e-15,31.825,1,2.2737367544323207e-14,4.999999999999999,0.0020461082458496094
0.125,0.25,43.14526844091955,32.23749999995274,30.503545374066814,10.907768440966812,32.24166666666667,2410,9.998632322094635e-09,4.999999999999998,2.1539764404296875
0.125,0.5,42.11193210488543,32.237499999951545,30.500915240402165,9.874432104933888,32.24166666666667,2405,9.999428129958687e-09,5.0,2.0316100120544434
0.125,1.0,40.49827547838525,32.23749999995159,30.490642535249304,8.260775478433665,32.24166666666667,2403,9.985035376303131e-09,5.000000000000001,1.6648390293121338
0.125,2.0,38.13360125288736,32.237499999951694,30.452938460244017,5.896101252935665,32.24166666666667,2394,9.975735792977503e-09,4.999999999999998,1.9216482639312744
0.125,3.0,36.49054864618396,32.23749999995104,30.399153519773193,4.253048646232919,32.24166666666667,2378,9.991003935283516e-09,5.000000000000001,2.1221179962158203
0.125,5.0,34.43360090915263,32.237499999952234,30.271749157712257,2.1961009092003962,32.24166666666667,2324,9.957329893950374e-09,5.0,1.8145339488983154
0.125,10.0,32.23749999999999,32.23749999999996,30.001562500000002,2.842170943040401e-14,32.24166666666667,1,2.2737367544323207e-14,4.999999999999999,0.0032072067260742188
0.15,0.25,44.33035324754273,32.654166666608226,30.47989400621535,11.676186580934505,32.65833333333333,2410,9.977111403713935e-09,4.999999999999998,1.219219446182251
0.15,0.5,43.28706465143745,32.65416666660697,30.477460216736965,10.632897984830478,32.65833333333333,2405,9.977156878449023e-09,5.0,1.6592612266540527
0.15,1.0,41.63806641571219,32.65416666660712,30.467942043703758,8.98389974910507,32.65833333333333,2403,9.96268454400706e-09,5.000000000000001,1.5030720233917236
0.15,2.0,39.16831797923743,32.65416666660713,30.432853035821484,6.514151312630297,32.65833333333333,2394,9.953362223313888e-09,4.999999999999998,1.7994890213012695
0.15,3.0,37.407628968890776,32.65416666660643,30.382435890064226,4.753462302284348,32.65833333333333,2378,9.968607628252358e-09,4.999999999999999,2.07672381401062
0.15,5.0,35.142822685802855,32.654166666607445,30.26167279158886,2.4886560191954104,32.65833333333333,2323,9.989435056922959e-09,5.0,1.7887752056121826
0.15,10.0,32.65416666666665,32.65416666666664,30.001562500000002,7.105427357601002e-15,32.65833333333333,1,3.4106051316484814e-14,4.999999999999999,0.0033617019653320312
0.175,0.25,45.42300877851175,33.070833333263145,30.458630279872956,12.352175445248605,33.075,2410,9.955931545846397e-09,5.0,1.906841516494751
0.175,0.5,44.371978366049326,33.070833333261355,30.45636102147085,11.301145032787971,33.075,2405,9.95510163193103e-09,5.0,2.0454139709472656
0.175,1.0,42.69503508955208,33.07083333326105,30.447476822603136,9.62420175629103,33.075,2402,9.99523308564676e-09,5.0,1.9125316143035889
0.175,2.0,40.139638862266565,33.07083333326116,30.414606123752375,7.068805529005402,33.075,2393,9.985831184167182e-09,5.0,1.619492769241333
0.175,3.0,38.27977651867124,33.070833333260644,30.367094906656334,5.208943185410597,33.075,2378,9.946631962520769e-09,4.999999999999998,1.7455244064331055
0.175,5.0,35.832286814471686,33.07083333326188,30.252235724184796,2.7614534812098057,33.075,2323,9.967266123567244e-09,4.999999999999999,1.949965000152588
0.175,10.0,33.07083333333332,33.07083333333332,30.001562500000002,0.0,33.075,1,3.4106051316484814e-14,4.999999999999999,0.004067659378051758
0.2,0.25,46.442061486383324,33.48749999991584,30.43932186993868,12.954561486467483,33.49166666666667,2409,9.98845735011855e-09,5.000000000000001,2.0388317108154297
0.2,0.5,45.38481143175538,33.487499999913965,30.43719356782365,11.897311431841416,33.49166666666667,2404,9.98776386040845e-09,5.000000000000002,2.050342321395874
0.2,1.0,43.68512102349858,33.487499999914164,30.42885369908726,10.197621023584418,33.49166666666667,2402,9.97330289465026e-09,5.000000000000002,2.0301828384399414
0.2,2.0,41.05822793428156,33.487499999914206,30.39790219414267,7.570727934367355,33.49166666666667,2393,9.963935099221998e-09,5.0,1.7515745162963867
0.2,3.0,39.11324974043121,33.487499999913354,30.35293963250893,5.625749740517854,33.49166666666667,2377,9.979169135476695e-09,5.0,1.5750672817230225
0.2,5.0,36.50350439742547,33.48749999991457,30.243385095994494,3.0160043975109048,33.49166666666667,2322,9.999882877309573e-09,5.0,1.2504875659942627
0.2,10.0,33.48749999999998,33.487499999999955,30.001562500000002,2.842170943040401e-14,33.49166666666667,1,3.4106051316484814e-14,4.999999999999999,0.0
0.225,0.25,47.40077727335383,33.90416666656783,30.421652037923398,13.496610606786,33.90833333333333,2409,9.967652658815495e-09,4.999999999999998,1.3696961402893066
0.225,0.5,46.3384067626442,33.90416666656527,30.419646569030302,12.43424009607893,33.90833333333333,2404,9.96609514913871e-09,4.999999999999998,1.4076571464538574
0.225,1.0,44.61978748732668,33.90416666656549,30.411781875740456,10.715620820761195,33.90833333333333,2402,9.95169102679938e-09,5.000000000000001,2.357771396636963
0.225,2.0,41.93211242374065,33.90416666656508,30.382516312509793,8.027945757175566,33.90833333333333,2392,9.996881544793723e-09,4.999999999999998,2.200045585632324
0.225,3.0,39.913054882431375,33.90416666656471,30.33981796472946,6.008888215866662,33.90833333333333,2377,9.957489055523183e-09,5.000000000000002,2.191303014755249
0.225,5.0,37.157949472858704,33.90416666656596,30.235071174933196,3.2537828062927403,33.90833333333333,2322,9.978043635783252e-09,5.000000000000002,2.4118144512176514
0.225,10.0,33.90416666666666,33.904166666666654,30.001562500000002,7.105427357601002e-15,33.90833333333333,1,2.2737367544323207e-14,4.999999999999999,0.0035047531127929688
0.25,0.25,48.30894096119923,34.32083333321741,30.405379815284434,13.988107627981819,34.325,2409,9.947086709871655e-09,5.0,3.215946674346924
0.25,0.5,47.242273168612265,34.32083333321413,30.403482824793063,12.921439835398132,34.325,2403,9.999189387599472e-09,5.0,3.0960731506347656
0.25,1.0,45.50762664152911,34.32083333321424,30.396038438193607,11.186793308314869,34.325,2401,9.984739790525054e-09,5.000000000000001,2.5186400413513184
0.25,2.0,42.76752948519583,34.32083333321434,30.368272059156187,8.446696151981492,34.325,2392,9.975269676942843e-09,5.000000000000002,2.3163161277770996
0.25,3.0,40.68327074128197,34.32083333321313,30.327606159023116,6.362437408068843,34.325,2376,9.990583293983946e-09,4.999999999999998,2.0814929008483887
0.25,5.0,37.797004623659056,34.320833333215404,30.227248266325372,3.476171290443652,34.325,2322,9.956511348718777e-09,5.000000000000001,2.1921193599700928
0.25,10.0,34.32083333333332,34.32083333333332,30.001562500000002,0.0,34.325,1,3.4106051316484814e-14,4.999999999999999,0.005641460418701172
